npi_number,organization_name,last_updated_nppes,facility_name,address,city,state,postal_code,phone,taxonomy_code,last_updated,facility_setting,facility_description,years_in_operation,medication_assisted_treatment,offers_private_rooms,facebook_url,youtube_url,instagram_url,twitter_url,linkedin_url,ogdescription,robots_string,official_screenshot,markdown_content,firecrawl_metadata,screenshot_urls,extraction_date,data_source_url,service_areas,donation_info,key_features,processing_status,extraction_completed,created_at,updated_at
1003179201,"MENZIES INSTITUTE OF RECOVERY FROM ADDICTION, LLC",2016-04-14 00:00:00,,6651 CHIPPEWA ST,SAINT LOUIS,MO,631092538,3146453840,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003180902,CHERRY STREAT HEALTH SERVICES,2012-02-24 00:00:00,,11105 E JEFFERSON AVE,DETROIT,MI,482143317,3138224060,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003190406,INTERNATIONAL ASSOCIATION OF TRAUMA & ADDICTION COUNSELORS INC.,2024-10-04 00:00:00,,1030 S STATE ROAD 7,PLANTATION,FL,333174525,5499990818,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003201732,PIONEER HUMAN SERVICES,2015-03-31 00:00:00,,24961 THOMPSON DR,SEDRO WOOLLEY,WA,982848246,3608563108,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003206228,HELEN VINE RECOVERY CENTER,2024-03-04 00:00:00,,201 ALAMEDA DEL PRADO STE 103,NOVATO,CA,949496698,4154576964,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003217423,Unknown,2014-09-05 00:00:00,,1624A W WASHINGTON ST,MILWAUKEE,WI,532042064,4146491929,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003225319,"CAZENOVIA RECOVERY SYSTEMS, INC.",2023-05-23 00:00:00,,2495 MAIN ST STE 417,BUFFALO,NY,142142152,7168524331,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003226390,Unknown,2014-05-28 00:00:00,,402 E LA HABRA BLVD,LA HABRA,CA,906315525,5626440696,101YA0400X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003231358,NEW HORIZONS MEDICAL DETOX,2014-02-27 00:00:00,,PO BOX 4488,FT LAUDERDALE,FL,333384488,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003231820,REVIVE DETOX CENTER,2014-03-07 00:00:00,,344 SW QUIET WOODS,PORT SAINT LUCIE,FL,349538230,7728286992,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003244153,CROSSROADS WEST,2023-12-27 00:00:00,,2002 E OSBORN RD,PHOENIX,AZ,850167236,6022635242,320800000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003245960,HILLTOP RECOVERY SERVICES,2013-11-01 00:00:00,,PO BOX 316,LUCERNE,CA,954580316,7072748171,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003247362,COMMUNITY PROGRAMS INC.,2020-03-26 00:00:00,,1255 N OAKLAND BLVD,WATERFORD,MI,483271545,2485998999,251S00000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003264078,"NEW OPTIONS OF RPB, INC.",2016-05-31 00:00:00,,12794 WEST FOREST HILL BLVD,WELLINGTON,FL,33414,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003272519,"ULTIMATE LIFESTYLE TRANSFORMATION, LLC",2017-01-10 00:00:00,,309 EAGLETONE ESTATES DRIVE.,PALM BEACH GARDENS,FL,33418,5617279488,261QR0405X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003274713,"BARRY A. GINSBERG,OD,PA DBA PALM RECOVERY",2016-04-06 00:00:00,,2501 S SEACREST BLVD,BOYNTON BEACH,FL,334356703,5613058572,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003279282,LOOKOUT MANAGMENT LLC,2016-04-04 00:00:00,,6901 LOOKOUT RD,BOULDER,CO,803013529,3034437695,261QM0850X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003280348,"OCTLC, INC",2024-06-24 00:00:00,,3943 IRVINE BLVD,IRVINE,CA,926022400,8186362938,3245S0500X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003282583,MERIDIAN BEHAVIORIAL HEALTHCARE,2015-08-19 00:00:00,,4300 SW 13TH ST.,GAINESVILLE,FL,326080468,Unknown,3245S0500X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003283854,LIFELINE RESIDENTIAL TREATMENT CENTER,2015-08-27 00:00:00,,5075 LINCOLN BLVD,OROVILLE,CA,959666927,5302824357,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003288473,TREATMENT SOLUTIONS OF SOUTH FLORIDA,2015-10-26 00:00:00,,PO BOX 1446,POMPANO BEACH,FL,330611446,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003301904,CATHEDRAL HOME FOR CHILDREN,2023-06-09 00:00:00,,4989 N 3RD ST,LARAMIE,WY,820729548,3077458997,101YA0400X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003305418,FORT HEALTHCARE LLC,2021-06-04 00:00:00,,7140 OAKMONT BLVD,FT WORTH,TX,761324135,9037718227,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003310939,Unknown,2018-03-23 00:00:00,,273 HEBERTON AVE,STATEN ISLAND,NY,103021809,7184123170,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003315276,Unknown,2018-02-02 00:00:00,,2030 KEOKUK ST,IOWA CITY,IA,522404456,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003324625,REHAB SOUTH FLORIDA LLC,2020-09-22 00:00:00,,4460 MEDICAL CENTER WAY STE 1,WEST PALM BEACH,FL,334073285,3523883111,261QM0801X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003328931,Unknown,2017-11-01 00:00:00,,380 S PORTAGE PATH,AKRON,OH,443202326,3303154109,172V00000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003332057,WARRIOR DOWN - PEER RECOVERY SUPPORT,2024-11-27 00:00:00,,P.O. BOX 114,RED LAKE,MN,56671,2186793995,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003332776,BIG STEP SOLUTIONS INC,2019-08-23 00:00:00,,PO BOX 2011,STATESBORO,GA,304592011,9122669094,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003337734,MIDWEST DETOX CENTER LLC,2024-01-12 00:00:00,,10461 MILL RUN CIR STE 801,OWINGS MILLS,MD,211175544,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003348939,"START WHERE YOU STAND, INC.",2017-03-30 00:00:00,,14502 123RD AVE,SOUTH OZONE PARK,NY,114361618,7187649742,3245S0500X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003353244,"COMMUNITY BRIDGES, INC.",2023-01-13 00:00:00,,1855 W BASELINE RD STE 101,MESA,AZ,852029098,4808317566,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003358771,LIVE AGAIN MINISTRIES,2016-11-13 00:00:00,,PO BOX 680,LAKE HUGHES,CA,935320680,6612700025,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003359670,Unknown,2024-02-23 00:00:00,,4205 W FIGARDEN DR,FRESNO,CA,937226051,5592211680,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003367103,"MEDICINE HORSE COUNSELING, PLLC",2016-10-24 00:00:00,,10435 63RD AVE NE,ROCKLAKE,ND,583659517,7012665118,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003371725,"CALIFORNIA BEHAVIORAL HEALTHCARE, LLC",2024-06-12 00:00:00,,25402 HILLARY LN,LAGUNA HILLS,CA,926535215,9254573001,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003380072,Unknown,2019-01-14 00:00:00,,4930 ENTERPRISE DR NW,WARREN,OH,444818706,3307870955,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003383209,"THE CAMP RECOVERY CENTERS, LLC",2025-04-15 00:00:00,,6100 TOWER CIR STE 1000,FRANKLIN,TN,370671509,6158616000,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003385881,HUMAN SERVICE CENTER,2024-06-06 00:00:00,,600 FAYETTE ST,PEORIA,IL,616033610,3096718005,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003387200,"BROOKE'S HOUSE, INC.",2018-12-16 00:00:00,,17666 TECHNOLOGY BLVD,HAGERSTOWN,MD,217402074,2403473756,261QR0405X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003408329,HOPE'S HORIZON LLC,2025-02-03 00:00:00,,4111 E JOPPA RD STE 101,NOTTINGHAM,MD,212362208,4437254062,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003413097,PROVIDENCE LIVING LLC,2021-05-07 00:00:00,,1188 BISHOP ST STE 1008,HONOLULU,HI,968133304,8084456780,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003433947,"KEY COUNSELING, LLC.",2020-06-26 00:00:00,,4745 DOVER ST,WHEAT RIDGE,CO,800333129,7202406185,261QM0850X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003435025,"GLOBAL INSTITUTES ON ADDICTIONS, INC.",2020-07-30 00:00:00,,1501 BISCAYNE BLVD STE 200,MIAMI,FL,331321449,3059060060,133N00000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003435033,"RESURGENCE CALIFORNIA, LLC",2020-04-09 00:00:00,,3151 AIRWAY AVE STE E1,COSTA MESA,CA,926264620,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003435629,DESIGN FOR CHANGE,2020-04-14 00:00:00,,1066 E AVENUE J,LANCASTER,CA,935353870,6619421026,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003445917,"NASHVILLE TREATMENT SOLUTIONS, LLC",2024-08-13 00:00:00,,1037 JEFFERSON ST,NASHVILLE,TN,372082554,4044372630,261QM0850X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003451584,NEVADA REHAB LLC,2025-01-29 00:00:00,,7074 GROVE RD,BROOKSVILLE,FL,346098658,3525975075,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003456294,"PENDULUM DETOX, LLC",2021-04-09 00:00:00,,2901 BROADWAY,WEST PALM BEACH,FL,334075131,Unknown,261QR0405X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003458191,ROCKVILLE RECOVERY LLC,2025-05-06 00:00:00,,PO BOX 191310,SAINT LOUIS,MO,631197310,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003458878,CENTRO CRISTIANO DE EDUCACION INTEGRAL LA PUERTA INC,2019-10-14 00:00:00,,PO BOX 7914,CAROLINA,PR,009867914,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003461229,"RECOVERY GRADS, LLC",2025-01-21 00:00:00,,1015 GAYLEY AVE STE 203,LOS ANGELES,CA,900243475,3108221234,261QM0850X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003461955,EAGLECREST RECOVERY LLC,2021-09-02 00:00:00,,1101 SW COVENTRY BLVD,BENTONVILLE,AR,727124325,4793672691,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003471202,THE GUEST HOUSE OCALA,2019-05-03 00:00:00,,PO BOX 190,SILVER SPRINGS,FL,344890190,8554837800,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003484197,ALL BY THE GRACE,2021-06-15 00:00:00,,6253 KENWOOD AVE,BALTIMORE,MD,212372020,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003498270,FIELD OF VISION COUNSELING,2024-09-24 00:00:00,,1177 N GRANT ST STE 308,DENVER,CO,802032362,7206686482,101YM0800X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003504796,Unknown,2023-05-01 00:00:00,,307 S VERDAD LN,CASA GRANDE,AZ,851947476,2106176438,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003505496,NO MATTER WHAT RECOVERY DETOX,2024-05-07 00:00:00,,3409 W TEMPLE ST,LOS ANGELES,CA,900264524,3108920535,261QR0405X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003506171,LEGACY RESIDENTIAL PROGRAM,2023-05-11 00:00:00,,8480 LIMEKILN PIKE PH 5,WYNCOTE,PA,190952816,2673155124,3104A0625X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003507278,ACCEPTANCE TREATMENT,2023-05-17 00:00:00,,10 LANCASTER DR,BELLA VISTA,AR,727155398,Unknown,101YA0400X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003507500,"LEGACY HEALTH AND WELLNESS, LLC",2023-09-20 00:00:00,,2921 N TENAYA WAY STE 128,LAS VEGAS,NV,891281411,7029788000,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003509738,"ORIENTED HEALTHCARE, LLC",2023-06-13 00:00:00,,3427 RIPPLE RD,WINDSOR MILL,MD,212443604,4435806811,261QR0800X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003519539,VIRTUE DETOX LLC,2023-03-23 00:00:00,,5850 CANOGA AVE STE 130,WOODLAND HILLS,CA,913676505,8189280038,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003519604,UNIVERSAL CARE SOLUTIONS,2025-03-14 00:00:00,,330 2ND AVE S,MINNEAPOLIS,MN,554015500,2064288836,251B00000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003522483,"THE TEAM 4 YOU, INC.",2023-10-03 00:00:00,,34868 WILD FLAX CT,MURRIETA,CA,925631112,8588478815,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003523242,AAA RECOVERY LLC,2022-10-27 00:00:00,,15839 GAULT ST,VAN NUYS,CA,914065152,8189135404,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003530353,"EIHAB HUMAN SERVICES NEW JERSEY, INC.",2022-09-30 00:00:00,,16818 S CONDUIT AVE,JAMAICA,NY,114344806,Unknown,251B00000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003535261,PROGRESSING AT RECOVERY LLC,2024-12-18 00:00:00,,6599 N ORACLE RD,TUCSON,AZ,857045614,6023679807,101YM0800X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003536830,DETOX CENTER OF SAN DIEGO LLC,2022-08-31 00:00:00,,2574 PICO WAY,SAN DIEGO,CA,921093811,9498366793,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003545401,THERAPEUTIC WELLNESS SERVICES CORP,2022-06-09 00:00:00,,6801 BELAIR RD,BALTIMORE,MD,212061121,4106653000,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003554346,TRANQUILITY RECOVERY CENTER,2022-05-26 00:00:00,,11310 WENTWORTH ST,SUN VALLEY,CA,913521138,6512000000,261QR0405X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003559352,Unknown,2022-04-14 00:00:00,,7376 CHAGRIN RD,CHAGRIN FALLS,OH,440231104,6199050095,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003562042,"BEHAVIORAL TREATMENT SERVICES, INC.",2024-10-30 00:00:00,,12600 W COLFAX AVE STE B410,LAKEWOOD,CO,802153750,3039624304,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003563115,DESERT ROSE SOBER LIVING,2022-03-08 00:00:00,,PO BOX 3645,SIERRA VISTA,AZ,856363645,5208959111,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
